acquisition_date;acquisition_type;acquired_company;acquired_company_domain;acquirer;acquisition_price_usd;is_key_acquisition;founded_year;company_details_overview;disclosed;industry;acquisition_year;matured;acquisition_price_usd_billions;acquired_company_size;city;state_province_region;country
2008-05-01;Leveraged Buyout;Endemol Shine Group;endemolshinegroup.com;Goldman Sachs;4190000000.0;True;2015;Producer of TV shows & commercials;1;Media & Entertainment;2008;False;4.19;Large;Amsterdam; North Holland; Netherlands
2008-03-18;Business Acquisition;The Marmon Group;marmon.com;Berkshire Hathaway;4500000000.0;True;1953;Manufacturer and supplier of axles and other heavy-duty drivetrain products.;1;Diversified Industrial;2008;True;4.5;Large;Chicago; Illinois; United States
2008-03-16;Business Acquisition;Bear Stearns Companies;bearstearns.com;JPMorgan Chase;1400000000.0;True;1995;Provider of investment and wealth planing services;1;Investment & Financial Services;2008;True;1.4;Large;New York City; New York; United States
2007-12-28;Business Acquisition;BUT;but.fr;Berkshire Hathaway;814400000.0;True;1972;Retailer of home furnishing products;1;Retail;2007;True;0.81;Large;Emerainville; Ile de France; France
2007-10-18;Business Acquisition;Sigma Electric;sigmaelectric.com;Goldman Sachs;170000000.0;True;1996;Manufactures (non)ferrous machined components;1;Manufacturing;2007;True;0.17;Medium;Pune; Maharashtra; India
2007-05-30;Business Acquisition;Kinder Morgan;kindermorgan.com;Berkshire Hathaway;22000000000.0;True;1997;Operator of natural gal & petroleum products pipelines;1;Energy;2007;False;22.0;Large;Houston; Texas; United States
2007-03-26;Business Acquisition;Hawker Beechcraft Corporation;hawkerbeechcraft.com;Berkshire Hathaway;3300000000.0;True;2005;Built jet units;1;Aerospace & Aviation;2007;False;3.3;Large;Wichita; Kansas; United States
2007-01-26;Management Buyout;Aramark;aramark.com;Berkshire Hathaway;8300000000.0;True;1939;Provider of food catering services;1;Food & Beverage;2007;True;8.3;Large;Philadelphia; Pennsylvania; United States
2007-01-22;Business Acquisition;Currenex;currenex.com;State Street;564000000.0;True;1999;Institutional forex trading platform;1;Financial Services;2007;False;0.56;Large;New York City; New York; United States
2007-01-16;Business Acquisition;USI;usi.com;Goldman Sachs;1400000000.0;True;1994;Provider of insurance brokerage and consulting services;1;Insurance;2007;True;1.4;Large;Valhalla; New York; United States
2006-12-18;Business Acquisition;Biomet;biomet.com;Berkshire Hathaway;10900000000.0;True;1977;Orthopedic surgical and non-surgical products;1;Medical & Healthcare;2006;True;10.9;Large;Warsaw; Indiana; United States
2006-05-23;Business Acquisition;Applied Underwriters;auw.com;Berkshire Hathaway;339000000.0;True;1994;Provider of insurance underwriting services;1;Insurance;2006;True;0.34;Medium;Omaha; Nebraska; United States
2005-03-29;Business Acquisition;ISS FS Integrated Solutions;issworld.com;Berkshire Hathaway;3805300000.0;True;1901;Provides integrated facility management services;1;Facility Services;2005;True;3.81;Large;Copenhagen; Capital Region of Denmark; Denmark
